lPlayer,rPlayer,lScore,rScore,lGames,rGames,datetime,id
Bychkov S.,Pronin O.,3,2,"['16', '7', '7', '11', '11']","['14', '11', '11', '6', '8']",11.11. 20:45,vPzs5TWt
Khomutov S.,Poletaev I.,0,3,"['13', '8', '9']","['15', '11', '11']",11.11. 20:50,rHXc1oW5
Karpovkin G.,Melkov O.,0,3,"['6', '9', '7']","['11', '11', '11']",11.11. 21:00,4ApWnnHC
Chahur V.,Rachkov V.,0,3,"['9', '7', '5']","['11', '11', '11']",11.11. 21:20,hSvo4mnm
Tsvetkov V.,Vahnin G.,0,3,"['10', '5', '4']","['12', '11', '11']",11.11. 21:15,M7W105oC
Potapkov A.,Afanasev I.,0,3,"['7', '5', '7']","['11', '11', '11']",11.11. 22:30,UTm1qDAK
Kalashnikov E.,Safonov V.,2,3,"['11', '10', '11', '8', '8']","['4', '12', '8', '11', '11']",11.11. 22:45,MRSuxV2f
Slachshilin A.,Pronkin M.,0,3,"['4', '7', '5']","['11', '11', '11']",11.11. 22:45,E1PXwiYs
Panochin M.,Troyanov Y.,3,2,"['11', '7', '11', '4', '11']","['6', '11', '7', '11', '9']",11.11. 23:00,8Kn5rXPQ
Bazhinov Y.,Buyanin I.,1,3,"['7', '11', '8', '12']","['11', '6', '11', '14']",11.11. 23:15,S4TywBml
Putilovsky V.,Ogay S.,3,1,"['6', '13', '11', '11']","['11', '11', '4', '5']",11.11. 23:15,v1xs1xxN
Afanasev I.,Panochin M.,3,2,"['11', '8', '9', '11', '15']","['7', '11', '11', '4', '13']",11.11. 23:30,4WL6aP0I
Pronkin M.,Bazhinov Y.,3,0,"['11', '11', '11']","['2', '7', '8']",11.11. 23:45,ALpQ4Kxb
Safonov V.,Putilovsky V.,3,0,"['11', '11', '11']","['7', '7', '5']",11.11. 23:45,Iiyo0diT
Troyanov Y.,Potapkov A.,0,3,"['9', '9', '9']","['11', '11', '11']",12.11. 00:05,0j3ZscVp
Buyanin I.,Slachshilin A.,0,3,"['10', '4', '5']","['12', '11', '11']",12.11. 00:15,lCqU3vh4
Ogay S.,Kalashnikov E.,2,3,"['10', '11', '11', '8', '8']","['12', '8', '5', '11', '11']",12.11. 00:15,lzOCeGap
Potapkov A.,Panochin M.,2,3,"['8', '11', '11', '13', '12']","['11', '8', '2', '15', '14']",12.11. 00:30,EgiH6t8o
Kalashnikov E.,Putilovsky V.,3,2,"['11', '11', '8', '10', '13']","['7', '9', '11', '12', '11']",12.11. 00:45,SQMGfzFj
Slachshilin A.,Bazhinov Y.,3,0,"['11', '11', '16']","['7', '6', '14']",12.11. 00:45,rZrY2b7A
Afanasev I.,Troyanov Y.,1,3,"['11', '8', '6', '10']","['7', '11', '11', '12']",12.11. 01:10,hpjL50Ni
Pronkin M.,Buyanin I.,0,3,"['4', '11', '6']","['11', '13', '11']",12.11. 01:15,dxmx2IMG
Safonov V.,Ogay S.,2,3,"['11', '6', '12', '11', '3']","['7', '11', '14', '5', '11']",12.11. 01:15,UV0aJJii
Mohnachev A.,Alekseev A.,3,0,"['11', '11', '11']","['5', '9', '4']",12.11. 02:30,0IRqykI0
Karpovkin G.,Merezhko A.,3,1,"['11', '8', '11', '11']","['4', '11', '9', '3']",12.11. 02:50,jaUtWdyc
Semeshin P.,Sidorin V.,3,1,"['7', '11', '11', '11']","['11', '7', '7', '5']",12.11. 02:45,dpLhZSnD
Tikhnenko D.,Gusev M.,3,1,"['3', '11', '11', '11']","['11', '3', '9', '7']",12.11. 03:00,IgMlz9X6
Kolmin A.,Andreev A.,3,1,"['8', '12', '11', '11']","['11', '10', '9', '4']",12.11. 03:15,Am9zbCPD
Novikov I.,Migalov I.,3,0,"['11', '11', '14']","['7', '7', '12']",12.11. 03:15,CEdKEe6M
Alekseev A.,Tikhnenko D.,3,2,"['4', '2', '11', '15', '11']","['11', '11', '4', '13', '6']",12.11. 03:30,rZ43Iw7c
Merezhko A.,Kolmin A.,3,1,"['11', '10', '11', '11']","['6', '12', '4', '8']",12.11. 03:45,UkTpVGj3
Sidorin V.,Novikov I.,1,3,"['12', '16', '11', '10']","['14', '18', '9', '12']",12.11. 03:45,6ydODFLS
Gusev M.,Mohnachev A.,0,3,"['4', '7', '10']","['11', '11', '12']",12.11. 04:00,xd47HcM3
Andreev A.,Karpovkin G.,0,3,"['5', '7', '8']","['11', '11', '11']",12.11. 04:15,CEIkUz69
Migalov I.,Semeshin P.,3,2,"['9', '11', '11', '8', '11']","['11', '7', '8', '11', '3']",12.11. 04:15,tUnj9ZTq
Mohnachev A.,Tikhnenko D.,0,3,"['9', '9', '9']","['11', '11', '11']",12.11. 04:30,Gn3BGHyA
Karpovkin G.,Kolmin A.,0,3,"['8', '8', '7']","['11', '11', '11']",12.11. 04:45,QHMgTfLF
Semeshin P.,Novikov I.,3,0,"['11', '11', '11']","['5', '9', '9']",12.11. 04:45,Ohxe8gqj
Alekseev A.,Gusev M.,3,2,"['9', '11', '7', '11', '11']","['11', '5', '11', '3', '6']",12.11. 05:00,YNcGFyiG
Merezhko A.,Andreev A.,2,3,"['11', '8', '7', '11', '6']","['4', '11', '11', '6', '11']",12.11. 05:15,KvMcSEzM
Sidorin V.,Migalov I.,0,3,"['7', '4', '5']","['11', '11', '11']",12.11. 05:15,2qya7Dbd
Shirshov V.,Kasatkin V.,3,0,"['11', '11', '11']","['9', '9', '8']",12.11. 06:30,MNCvcWvK
Kaplan S.,Cheklin M.,3,2,"['6', '11', '11', '8', '13']","['11', '9', '7', '11', '11']",12.11. 06:45,OvLvexuT
Mishutin E.,Grebenyuk B.,1,3,"['11', '10', '9', '9']","['8', '12', '11', '11']",12.11. 06:50,O4jzbveA
Chernov V.,Vlasov A.,3,2,"['12', '12', '10', '13', '11']","['10', '14', '12', '11', '9']",12.11. 07:00,4n2qdjfQ
Demic Y.,Innazarov A.,3,1,"['11', '6', '11', '11']","['9', '11', '6', '6']",12.11. 07:15,Qm76jdmp
Gribkov A.,Kryuchkov E.,1,3,"['11', '7', '7', '8']","['9', '11', '11', '11']",12.11. 07:15,dIlrdIPM
Kasatkin V.,Chernov V.,3,2,"['5', '8', '11', '11', '11']","['11', '11', '2', '3', '6']",12.11. 07:40,bVK1RYkS
Cheklin M.,Demic Y.,2,3,"['11', '5', '11', '11', '5']","['7', '11', '13', '1', '11']",12.11. 07:45,EXHomrbk
Grebenyuk B.,Gribkov A.,1,3,"['9', '9', '11', '8']","['11', '11', '8', '11']",12.11. 07:45,O2w7fQ5F
Vlasov A.,Shirshov V.,2,3,"['11', '11', '7', '11', '7']","['5', '13', '11', '7', '11']",12.11. 08:10,lAvMMhbq
Innazarov A.,Kaplan S.,0,3,"['15', '13', '9']","['17', '15', '11']",12.11. 08:15,W8Cjn2De
Kryuchkov E.,Mishutin E.,1,3,"['11', '8', '8', '7']","['5', '11', '11', '11']",12.11. 08:15,6RSBgpLL
Shirshov V.,Chernov V.,3,0,"['11', '11', '14']","['4', '5', '12']",12.11. 08:40,S0wQLCDk
Kaplan S.,Demic Y.,3,1,"['11', '9', '15', '14']","['3', '11', '13', '12']",12.11. 08:45,AaBfoMS1
Mishutin E.,Gribkov A.,3,0,"['11', '15', '11']","['5', '13', '5']",12.11. 08:45,I1WFh4zS
Kasatkin V.,Vlasov A.,1,3,"['10', '11', '10', '10']","['12', '7', '12', '12']",12.11. 09:00,MNxUKWSe
Cheklin M.,Innazarov A.,2,3,"['11', '10', '11', '7', '10']","['7', '12', '8', '11', '12']",12.11. 09:15,O2axA552
Grebenyuk B.,Kryuchkov E.,3,0,"['11', '11', '11']","['7', '5', '8']",12.11. 09:15,zsJslOrq
Ziuzikov P.,Zhurba N.,1,3,"['12', '12', '8', '8']","['14', '10', '11', '11']",12.11. 10:30,6elBiA2s
Marshalov V.,Ivanov Va.,1,3,"['12', '11', '6', '6']","['14', '1', '11', '11']",12.11. 10:45,xnyecSLd
Semeshin P.,Tarasenkov N.,3,1,"['11', '8', '11', '11']","['5', '11', '4', '6']",12.11. 10:45,x63t9PK8
Turabekov T.,Serebrennikov A.,2,3,"['11', '8', '10', '11', '1']","['8', '11', '12', '4', '11']",12.11. 11:05,zVhFjUHm
Molodtsov D.,Nemashkalo V.,3,2,"['11', '10', '11', '11', '11']","['13', '12', '1', '9', '8']",12.11. 11:20,KA6AkG2j
Volkov A.,Petrochenko D.,3,1,"['11', '9', '11', '11']","['8', '11', '4', '9']",12.11. 11:15,Gxzadny3
Zhurba N.,Pravednov A.,3,2,"['10', '11', '11', '2', '11']","['12', '8', '6', '11', '6']",12.11. 11:35,zRtYJjr2
Ivanov Va.,Masokin E.,3,1,"['11', '11', '5', '11']","['6', '7', '11', '9']",12.11. 11:45,xzVybaC7
Tarasenkov N.,Churin K.,3,0,"['11', '11', '11']","['9', '9', '5']",12.11. 11:50,YDAElzId
Ziuzikov P.,Turabekov T.,0,3,"['1', '11', '11']","['11', '13', '13']",12.11. 12:05,xWKGrzL2
Marshalov V.,Volkov A.,1,3,"['11', '8', '9', '7']","['8', '11', '11', '11']",12.11. 12:15,EiEKMrk8
Semeshin P.,Molodtsov D.,3,1,"['11', '7', '11', '11']","['8', '11', '9', '6']",12.11. 12:15,KUho8qzF
Pravednov A.,Serebrennikov A.,3,1,"['11', '13', '7', '11']","['9', '11', '11', '9']",12.11. 12:30,GMJKsfz9
Churin K.,Nemashkalo V.,3,1,"['11', '11', '9', '11']","['6', '8', '11', '5']",12.11. 12:45,bLik73kL
Masokin E.,Petrochenko D.,3,2,"['9', '11', '12', '7', '11']","['11', '9', '10', '11', '5']",12.11. 12:45,hrDOL24E
Zhurba N.,Turabekov T.,2,3,"['11', '10', '13', '9', '5']","['8', '12', '11', '11', '11']",12.11. 13:00,pdOOtEkF
Ivanov Va.,Volkov A.,3,0,"['11', '11', '11']","['4', '6', '6']",12.11. 13:15,n5CSKMJK
Tarasenkov N.,Molodtsov D.,3,2,"['2', '5', '11', '11', '11']","['11', '11', '9', '6', '7']",12.11. 13:15,6oig6N4R
Serebrennikov A.,Ziuzikov P.,3,1,"['7', '11', '11', '11']","['11', '7', '2', '9']",12.11. 13:30,OnNSuY4L
Nemashkalo V.,Semeshin P.,3,1,"['11', '11', '4', '12']","['4', '5', '11', '10']",12.11. 13:45,8fwL1sDr
Petrochenko D.,Marshalov V.,1,3,"['9', '10', '11', '10']","['11', '12', '9', '12']",12.11. 13:45,pjVVJtZQ
Turabekov T.,Pravednov A.,1,3,"['7', '3', '11', '5']","['11', '11', '7', '11']",12.11. 14:00,6BCXvhKR
Molodtsov D.,Churin K.,1,3,"['11', '11', '5', '8']","['3', '13', '11', '11']",12.11. 14:15,jJSP01Sl
Volkov A.,Masokin E.,3,0,"['11', '11', '11']","['9', '9', '3']",12.11. 14:15,jX7bF0sr
Serebrennikov A.,Zhurba N.,2,3,"['13', '9', '11', '8', '4']","['11', '11', '5', '11', '11']",12.11. 14:30,t43azCSr
Nemashkalo V.,Tarasenkov N.,2,3,"['12', '6', '10', '11', '4']","['10', '11', '12', '7', '11']",12.11. 14:45,4MWTaLse
Petrochenko D.,Ivanov Va.,1,3,"['10', '9', '15', '7']","['12', '11', '13', '11']",12.11. 14:45,UN62EKdl
Pravednov A.,Ziuzikov P.,0,3,"['12', '3', '8']","['14', '11', '11']",12.11. 15:00,zR23ZVsk
Churin K.,Semeshin P.,3,2,"['11', '4', '11', '6', '11']","['6', '11', '7', '11', '9']",12.11. 15:15,bqWXbuc1
Masokin E.,Marshalov V.,2,3,"['9', '11', '5', '11', '14']","['11', '4', '11', '9', '16']",12.11. 15:15,bcB6DvCf
Lazuryk D.,Vlasenko V.,2,3,"['11', '11', '8', '10', '8']","['7', '9', '11', '12', '11']",11.11. 08:05,hGCf4xOJ
Lazuryk D.,Hrymovskyi O.,1,3,"['12', '4', '7', '9']","['10', '11', '11', '11']",11.11. 07:15,GbTBugoJ
Lazuryk D.,Nadporozhskyi O.,3,1,"['11', '10', '11', '11']","['7', '12', '8', '8']",11.11. 05:30,x8U7tZVC
Lazuryk D.,Dombrovskyi A.,2,3,"['7', '11', '2', '12', '3']","['11', '9', '11', '10', '11']",11.11. 04:30,roV3sFG6
Filenko O.,Omelchuk I.,0,3,"['4', '4', '5']","['11', '11', '11']",11.11. 20:00,djG7xnoN
Reva Y.,Dynaburg L.,1,3,"['11', '8', '7', '9']","['5', '11', '11', '11']",11.11. 20:10,ETw1DYCm
Vlasenko V.,Hrymovskyi O.,2,3,"['7', '7', '11', '11', '6']","['11', '11', '7', '7', '11']",11.11. 20:15,jBEGhwmd
Ratushniak V.,Kalachevskyi D.,2,3,"['9', '16', '5', '11', '10']","['11', '14', '11', '5', '12']",11.11. 20:30,zsFBy60T
Leonenko O.,Troian A.,3,2,"['9', '7', '11', '11', '11']","['11', '11', '8', '9', '8']",11.11. 20:40,hM1wXP8p
Zhyrnov O.,Dombrovskyi A.,1,3,"['11', '9', '8', '7']","['6', '11', '11', '11']",11.11. 20:45,hGhaHMPd
Pereguda O.,Burdelnyi S.,0,3,"['7', '5', '4']","['11', '11', '11']",11.11. 20:50,61qQfT0i
Peretiatko A.,Ivanov E.,3,1,"['13', '11', '10', '11']","['11', '4', '12', '4']",11.11. 20:55,zsysio0G
Rybka A.,Omelchuk I.,1,3,"['8', '11', '9', '12']","['11', '9', '11', '14']",11.11. 21:10,K6IRbZcf
Volkovskyi V.,Zaporozhets D.,1,3,"['11', '11', '7', '2']","['13', '5', '11', '11']",11.11. 21:25,4d5sWqOj
Teteruk M.,Nadporozhskyi O.,3,0,"['11', '11', '11']","['3', '4', '8']",11.11. 21:15,W6i3Gtu3
Lymarenko O.,Melnykov V.,0,3,"['8', '6', '10']","['11', '11', '12']",11.11. 21:20,phrUgmGc
Polusmiak V.,Bonishchuk T.,0,3,"['6', '8', '9']","['11', '11', '11']",11.11. 21:25,lpuoj5FM
Filenko O.,Ratushniak V.,3,0,"['11', '11', '11']","['9', '5', '8']",11.11. 21:45,SWHVcgD0
Reva Y.,Troian A.,1,3,"['11', '8', '6', '7']","['6', '11', '11', '11']",11.11. 21:50,8jw5ChSg
Vlasenko V.,Dombrovskyi A.,1,3,"['17', '9', '8', '9']","['15', '11', '11', '11']",11.11. 21:45,vXj7F0f9
Holomoz A.,Yakymchuk Y.,1,3,"['11', '6', '8', '2']","['5', '11', '11', '11']",11.11. 21:50,djUdal4B
Povalyaev V.,Yushko R.,3,2,"['9', '11', '7', '11', '11']","['11', '6', '11', '8', '5']",11.11. 21:55,r7vkkPUS
Rybka A.,Kalachevskyi D.,-,-,[],[],11.11. 22:25WO,6NGZdDS6
Zaporozhets D.,Dynaburg L.,3,1,"['11', '11', '5', '11']","['8', '3', '11', '5']",11.11. 22:15,KQt9BCs0
Nadporozhskyi O.,Hrymovskyi O.,0,3,"['8', '4', '4']","['11', '11', '11']",11.11. 22:15,INkBEK9F
Pereguda O.,Melnykov V.,0,3,"['4', '8', '8']","['11', '11', '11']",11.11. 22:20,AgY0b8JH
Peretiatko A.,Bonishchuk T.,2,3,"['15', '11', '11', '11', '8']","['17', '9', '6', '13', '11']",11.11. 22:25,00KlSwvF
Ratushniak V.,Omelchuk I.,2,3,"['12', '11', '8', '10', '5']","['10', '6', '11', '12', '11']",11.11. 22:30,ln6vdXsD
Leonenko O.,Volkovskyi V.,3,0,"['11', '11', '11']","['5', '7', '6']",11.11. 22:45,2kWDAWd6
Zhyrnov O.,Teteruk M.,3,2,"['8', '11', '6', '11', '11']","['11', '8', '11', '6', '8']",11.11. 22:45,ERnYh7V3
Yakymchuk Y.,Burdelnyi S.,3,1,"['11', '6', '11', '11']","['9', '11', '9', '9']",11.11. 22:50,hIN5cSYN
Yushko R.,Ivanov E.,2,3,"['11', '11', '7', '7', '6']","['6', '9', '11', '11', '11']",11.11. 22:55,viJhRcgL
Filenko O.,Kalachevskyi D.,2,3,"['12', '13', '9', '3', '5']","['10', '11', '11', '11', '11']",11.11. 23:00,2kAreicJ
Reva Y.,Zaporozhets D.,3,2,"['1', '12', '11', '7', '12']","['11', '10', '9', '11', '10']",11.11. 23:10,ttVH9jCC
Vlasenko V.,Nadporozhskyi O.,3,1,"['11', '9', '11', '11']","['7', '11', '7', '9']",11.11. 23:15,0nuGDvPL
Lymarenko O.,Holomoz A.,1,3,"['4', '14', '6', '9']","['11', '12', '11', '11']",11.11. 23:20,W8M9dnlU
Polusmiak V.,Povalyaev V.,3,2,"['6', '11', '14', '5', '14']","['11', '2', '12', '11', '12']",11.11. 23:25,8QNdQH8R
Rybka A.,Ratushniak V.,-,-,[],[],11.11. 23:30WO,GhbQJzzK
Volkovskyi V.,Troian A.,0,3,"['7', '7', '7']","['11', '11', '11']",11.11. 23:45,AFZL8ARI
Teteruk M.,Dombrovskyi A.,1,3,"['11', '7', '6', '9']","['7', '11', '11', '11']",11.11. 23:45,EkqKCbvS
Pereguda O.,Yakymchuk Y.,3,0,"['11', '11', '11']","['4', '9', '9']",11.11. 23:50,rs3FHVJu
Peretiatko A.,Yushko R.,3,0,"['11', '11', '11']","['3', '8', '5']",11.11. 23:55,AZ9OLyHr
Kalachevskyi D.,Omelchuk I.,3,1,"['11', '10', '11', '11']","['9', '12', '8', '9']",12.11. 00:05,fqcUIfkQ
Leonenko O.,Dynaburg L.,3,2,"['11', '5', '11', '13', '11']","['5', '11', '7', '15', '9']",12.11. 00:10,l6YP7UtP
Zhyrnov O.,Hrymovskyi O.,3,1,"['12', '2', '11', '11']","['10', '11', '4', '2']",12.11. 00:15,WUVo8Inq
Holomoz A.,Melnykov V.,3,0,"['11', '11', '12']","['8', '6', '10']",12.11. 00:20,MX1JGkZo
Povalyaev V.,Bonishchuk T.,2,3,"['11', '9', '13', '8', '8']","['9', '11', '11', '11', '11']",12.11. 00:25,hbaTKeWl
Rybka A.,Filenko O.,-,-,[],[],12.11. 00:30WO,zwucEEcs
Reva Y.,Volkovskyi V.,3,2,"['9', '7', '11', '11', '11']","['11', '11', '5', '8', '7']",12.11. 00:50,nsAI8hsP
Vlasenko V.,Teteruk M.,3,1,"['11', '14', '4', '11']","['9', '12', '11', '9']",12.11. 00:45,ALUk7x2k
Lymarenko O.,Burdelnyi S.,2,3,"['8', '11', '6', '11', '10']","['11', '9', '11', '8', '12']",12.11. 00:50,4diOF9lh
Polusmiak V.,Ivanov E.,3,0,"['11', '11', '11']","['9', '6', '6']",12.11. 01:00,613XJFoe
Leonenko O.,Zaporozhets D.,2,3,"['7', '9', '11', '11', '8']","['11', '11', '5', '6', '11']",12.11. 01:20,O21p4Ckt
Zhyrnov O.,Nadporozhskyi O.,2,3,"['9', '11', '11', '7', '8']","['11', '7', '8', '11', '11']",12.11. 01:20,SdPf6dHe
Pereguda O.,Holomoz A.,3,1,"['13', '11', '8', '11']","['11', '8', '11', '7']",12.11. 01:25,GWfSET3b
Peretiatko A.,Povalyaev V.,1,3,"['11', '9', '8', '9']","['9', '11', '11', '11']",12.11. 01:25,0O2yJZ01
Troian A.,Dynaburg L.,3,2,"['7', '11', '4', '11', '11']","['11', '5', '11', '2', '6']",12.11. 02:00,IP0l3W4n
Dombrovskyi A.,Hrymovskyi O.,1,3,"['9', '11', '8', '10']","['11', '4', '11', '12']",12.11. 01:45,hIoxhRpA
Lymarenko O.,Yakymchuk Y.,3,0,"['11', '11', '11']","['6', '3', '7']",12.11. 01:50,AgfWDmJ4
Polusmiak V.,Yushko R.,3,1,"['8', '11', '11', '11']","['11', '5', '5', '6']",12.11. 01:55,vF1uIgG7
Reva Y.,Leonenko O.,1,3,"['6', '11', '6', '5']","['11', '7', '11', '11']",12.11. 02:35,dGah2jKh
Vlasenko V.,Zhyrnov O.,0,3,"['9', '9', '10']","['11', '11', '12']",12.11. 02:15,6mOb5GW1
Melnykov V.,Burdelnyi S.,3,0,"['11', '13', '15']","['5', '11', '13']",12.11. 02:20,lpgzD7YA
Bonishchuk T.,Ivanov E.,3,0,"['11', '11', '11']","['8', '8', '7']",12.11. 02:25,v77Gtwg8
Volkovskyi V.,Dynaburg L.,0,3,"['9', '8', '7']","['11', '11', '11']",12.11. 02:55,OxWl1AZb
Teteruk M.,Hrymovskyi O.,-,-,[],[],12.11. 03:15WO,KjCtUa92
Pereguda O.,Lymarenko O.,2,3,"['11', '7', '5', '11', '9']","['8', '11', '11', '7', '11']",12.11. 02:50,6LmuCRmH
Peretiatko A.,Polusmiak V.,3,0,"['11', '11', '11']","['5', '6', '6']",12.11. 02:55,Ic6Kuc8E
Zaporozhets D.,Troian A.,3,0,"['11', '11', '16']","['9', '6', '14']",12.11. 03:15,2TUh0Ul5
Nadporozhskyi O.,Dombrovskyi A.,2,3,"['11', '11', '8', '11', '7']","['4', '13', '11', '6', '11']",12.11. 03:15,IyVqTJO8
Holomoz A.,Burdelnyi S.,0,3,"['6', '8', '7']","['11', '11', '11']",12.11. 03:30,roB8faIq
Povalyaev V.,Ivanov E.,3,2,"['11', '7', '8', '11', '11']","['8', '11', '11', '9', '1']",12.11. 03:25,CK5OvHNK
Merzlikin V.,Lazuryk D.,3,1,"['11', '11', '11', '12']","['5', '6', '13', '10']",12.11. 03:30,pGQGpqwp
Oranskyi I.,Kuleshov G.,1,3,"['7', '6', '11', '6']","['11', '11', '7', '11']",12.11. 03:35,t2vkoGTf
Bilobrov V.,Ishchuk V.,3,2,"['4', '8', '12', '13', '11']","['11', '11', '10', '11', '6']",12.11. 03:50,ILUa76pc
